Year,Month,Day,Y
2015,7,10,189.638779
2015,7,13,182.034225
2015,7,14,189.163498
2015,7,15,188.688217
2015,7,16,200.095062
2015,7,17,196.768066
2015,7,20,185.361221
2015,7,21,186.311783
2015,7,22,183.935364
2015,7,23,165.874527
2015,7,24,163.973389
2015,7,27,156.844101
2015,7,28,159.695816
2015,7,29,150.190109
2015,7,30,148.288971
2015,7,31,149.714828
2015,8,3,147.81369
2015,8,4,133.55513
2015,8,5,140.209122
2015,8,6,130.228134
2015,8,7,131.178711
2015,8,10,137.832703
2015,8,11,135.456268
2015,8,12,137.357407
2015,8,13,142.11026
2015,8,14,140.209122
2015,8,17,135.931564
2015,8,18,136.882126
2015,8,19,138.783264
2015,8,20,136.882126
2015,8,21,123.574142
2015,8,24,111.216728
2015,8,25,100.285172
2015,8,26,105.988594
2015,8,27,103.136879
2015,8,28,113.117867
2015,8,31,120.247147
2015,9,1,126.901138
2015,9,2,130.703415
2015,9,3,135.931564
2015,9,4,129.752853
2015,9,7,131.178711
2015,9,8,139.733841
2015,9,9,143.536118
2015,9,10,144.961975
2015,9,11,145.437256
2015,9,14,142.585556
2015,9,15,142.11026
2015,9,16,140.684402
2015,9,17,140.684402
2015,9,18,154.467682
2015,9,21,153.041824
2015,9,22,157.794678
2015,9,23,154.942963
2015,9,24,141.159698
2015,9,25,148.288971
2015,9,29,148.288971
2015,9,30,144.961975
2015,10,1,149.714828
2015,10,2,164.448669
2015,10,5,167.300385
2015,10,6,169.201523
2015,10,7,173.003799
2015,10,8,164.448669
2015,10,12,166.349808
2015,10,13,173.954376
2015,10,14,180.608368
2015,10,15,179.18251
2015,10,16,177.756653
2015,10,19,172.053238
2015,10,20,173.954376
2015,10,21,170.62738
2015,10,22,167.775665
2015,10,23,169.201523
2015,10,26,172.053238
2015,10,27,171.577942
2015,10,28,170.62738
2015,10,29,164.448669
2015,10,30,160.171097
2015,11,2,164.448669
2015,11,3,173.954376
2015,11,4,170.152084
2015,11,5,171.102661
2015,11,6,166.349808
2015,11,9,160.646393
2015,11,10,161.121674
2015,11,11,153.517105
2015,11,12,158.269958
2015,11,13,154.467682
2015,11,16,155.418243
2015,11,17,157.794678
2015,11,18,158.269958
2015,11,19,163.022812
2015,11,20,166.825089
2015,11,23,168.726242
2015,11,24,163.498093
2015,11,25,179.657791
2015,11,26,175.855515
2015,11,27,181.083649
2015,11,30,178.70723
2015,12,1,182.509506
2015,12,2,177.281372
2015,12,3,185.361221
2015,12,4,203.897339
2015,12,7,223.859314
2015,12,8,209.125473
2015,12,9,194.391632
2015,12,10,199.619766
2015,12,11,187.73764
2015,12,14,188.688217
2015,12,15,191.064636
2015,12,16,187.26236
2015,12,17,197.718628
2015,12,18,196.768066
2015,12,21,202.471481
2015,12,22,211.977188
2015,12,23,198.669205
2015,12,24,199.144485
2015,12,25,202.946762
2015,12,28,204.37262
2015,12,29,204.37262
2015,12,30,200.570343
2015,12,31,203.422058
2016,1,4,196.768066
2016,1,5,192.015213
2016,1,6,182.984787
2016,1,7,174.904938
2016,1,8,188.688217
2016,1,11,186.311783
2016,1,12,181.083649
2016,1,13,184.885925
2016,1,14,187.26236
2016,1,15,185.361221
2016,1,18,195.81749
2016,1,19,197.718628
2016,1,20,190.114075
2016,1,21,188.688217
2016,1,22,190.114075
2016,1,25,193.441071
2016,1,26,194.391632
2016,1,27,190.114075
2016,1,28,192.490494
2016,1,29,197.243347
2016,1,30,null
2016,2,1,191.064636
2016,2,2,176.806076
2016,2,3,166.349808
2016,2,15,168.726242
2016,2,16,174.904938
2016,2,17,169.201523
2016,2,18,171.102661
2016,2,19,173.003799
2016,2,22,169.201523
2016,2,23,169.201523
2016,2,24,163.498093
2016,2,25,163.022812
2016,2,26,163.022812
2016,3,1,160.646393
2016,3,2,161.596954
2016,3,3,172.528519
2016,3,4,169.201523
2016,3,7,170.152084
